model,prompt_id,category,temperature,distinct_2,self_bleu,repetition_ratio,length,timestamp
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,dialogue_scene,dialogue,0,0.1781,0.7409,0.8318,220,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,dialogue_scene,dialogue,0.4,0.8571,0.9102,0.3507,211,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,dialogue_scene,dialogue,0.7,0.9479,1.0984,0.3109,193,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,dialogue_scene,dialogue,1,0.9605,1.3694,0.3144,229,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,sensory_description,description,0,0.9461,0.9225,0.3463,205,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,sensory_description,description,0.4,0.9735,0.9113,0.2684,190,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,sensory_description,description,0.7,0.1174,1.1679,0.8925,214,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,sensory_description,description,1,0.0922,0.7955,0.9083,218,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,worldbuilding,worldbuilding,0,0.0603,8.9574,0.9494,316,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,worldbuilding,worldbuilding,0.4,0.0603,8.9574,0.9494,316,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,worldbuilding,worldbuilding,0.7,0.1371,5.7076,0.9099,322,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,worldbuilding,worldbuilding,1,0.0144,0.0000,0.9857,140,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,emotional_moment,emotional,0,0.9526,0.7730,0.2827,191,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,emotional_moment,emotional,0.4,0.1045,1.2750,0.9059,202,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,emotional_moment,emotional,0.7,0.1045,1.2750,0.9059,202,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,emotional_moment,emotional,1,0.9630,1.1636,0.3105,190,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,action_sequence,action,0,0.9485,1.1613,0.2701,137,2026-06-08T22:46:09
OmniCoder-9B-Claude-Opus-High-Reasoning-Distill.Q8_0.gguf,action_sequence,action,0.4,0.9694,0.8714,0.2323,99,2026-06-08T22:46:09
